start	end	text
0	4000	mga company htm aayte every week follow up chastner rr s eva mani
4000	6000	so mgaaliy product based ar company anata
6000	8000	so benefit chapta bhenandi
8000	10000	so week to days of office and davi
10000	12000	vartta timings eumandda fully flexible
12000	14000	vapna ravu chapna allatchu
14000	16000	and break first lunch snacks
16000	18000	ila nga chala benefit sanda ii vannifrii hai
18000	20000	and package got chala baayas taro
20000	22000	so mga kevarka na really interested
22000	24000	unda video kenda comment chendi
24000	27000	mga ke air page link DM jaas tano
27000	29000	mga kenda rolls hot up allga and pitchi
29000	31000	miersit fitto dhar anukunti
31000	33000	mi resmi plus aawali nag mambi chendi
33000	35000	mithadhanen joos kuntano
35000	37000	thanks for watching
